the_geom,cartodb_id,objectid,project,phase,descriptio
0101000020E6100000D58F8B9B2BFF53C046EC7B656C3A4440,1,1,River Ave,Completed,Green Infrastructure
0101000020E610000078B0FC7B0A0354C0BF3F1A8A8F334440,2,2,Red Oak and Hayson,Completed,Green Infrastructure
0101000020E61000001820B8C082FD53C01AD80823B73A4440,3,3,Melwood and Finland,In Construction,Green Infrastructure
0101000020E6100000A31E64FEBBFD53C047B5A9B870394440,4,4,Centre and Herron,Completed,Green Infrastructure
0101000020E6100000288D4A21FFFB53C068D7B4A0EF3B4440,5,5,Hillcrest,Completed,Green Infrastructure
0101000020E6100000A29BA0C8860154C058327688E03D4440,6,6,Woods Run,In Design,"Green Infrastructure, Stream restoration"
0101000020E61000006CFB55D02A0054C05459DFF920354440,7,7,Chicken Hill,In Design,Green Infrastructure
0101000020E61000005F1932CD7AFE53C081E49C7ED2364440,8,8,S 21st Street,In Design,Green Infrastructure
0101000020E6100000DDB5705C71FB53C03431CB46F2394440,9,9,Maryland,In Design,Green Infrastructure
0101000020E61000001B70DA671FFB53C021CDAA2D79394440,10,10,Woodlawn Rd,In Design,Green Infrastructure
0101000020E61000005ADEE33F5DFB53C0EFC1D09EBA384440,11,11,Wightman Park,In Design,Green Infrastructure
0101000020E6100000108CA753C8FD53C0E62BEE4FBB374440,12,13,Lawn and Ophelia,In Design,Green Infrastructure
0101000020E6100000CF45FEF604FA53C0909434BB0F3A4440,13,17,Thomas and McPherson,In Design,Green Infrastructure
0101000020E6100000A0BC59499AFC53C01FABE043EA374440,14,19,Four Mile Run,In Design,Sewershed Planning
0101000020E6100000A462B158B9FC53C0EDC8E788E6374440,15,20,Panther Hollow Lake,In Construction,Smart Green Technology
0101000020E6100000BB5CCFBAEDFB53C0D2BDFEF4D83B4440,16,21,Shamrock Way,In Design,Green Infrastructure
0101000020E6100000107874AB5EFA53C010926921FC3B4440,17,22,Negley Run,In Design,Sewershed Planning
0101000020E6100000E692CB1F550354C0FEE90245B1364440,18,23,Poplar and Kearns,In Design,Stormwater Improvement Project
0101000020E61000003E6F2500AAF853C00973D3B50A3A4440,19,24,Oakwood and Batavia,Completed,Green Infrastructure
0101000020E61000007D758A54D9FA53C0D77409E2333B4440,20,25,Larimer Park,In Design,Green Infrastructure
0101000020E610000019E7CCE28CFF53C0CA3E87A6C7324440,21,27,Volunteers Field,In Design,Green Infrastructure
0101000020E610000016157B34600254C0D05FEFBE0C3D4440,22,28,St. Johns Site,In Design,Green Infrastructure
0101000020E6100000EA1F7FFF2AFF53C0A809D83236314440,23,32,Maytide,In Design,Stormwater Improvement Project
0101000020E6100000BF772EB81CF953C0542F3EF5413E4440,24,33,PWSA Water Treatment Raingarden,Completed,Green Infrastructure
